participant,trial_name,stair_height,direction,trans_leg,start_time,end_time
AB06,stair_1_l_01_01,4,ascent,lr,16.78,18.08
AB06,stair_1_l_01_01,4,descent,lr,25.545,26.93
AB06,stair_1_l_01_02,4,ascent,lr,43.875,45.185
AB06,stair_1_l_01_02,4,descent,lr,52.27,53.57
AB06,stair_1_l_01_03,4,ascent,lr,61.905,63.265
AB06,stair_1_l_01_03,4,descent,lr,71.315,72.625
AB06,stair_1_l_01_04,4,ascent,lr,83.155,84.43
AB06,stair_1_l_01_04,4,descent,lr,92.64,93.91
AB06,stair_1_l_01_05,4,ascent,lr,103.955,105.215
AB06,stair_1_l_01_05,4,descent,lr,112.82,114.11
AB06,stair_1_l_01_06,4,ascent,lr,121.795,123.035
AB06,stair_1_l_01_06,4,descent,lr,130.33,131.625
AB06,stair_1_r_01_01,4,ascent,rl,21.335,24.475
AB06,stair_1_r_01_01,4,descent,rl,30.81,33.715
AB06,stair_1_r_01_02,4,ascent,rl,41.26,44.625
AB06,stair_1_r_01_02,4,descent,rl,52.435,55.705
AB06,stair_1_r_01_03,4,ascent,rl,63.145,66.215
AB06,stair_1_r_01_03,4,descent,rl,72.75,75.42
AB06,stair_1_r_01_04,4,ascent,rl,82.385,85.685
AB06,stair_1_r_01_04,4,descent,rl,92.09,95.02
AB06,stair_1_r_01_05,4,ascent,rl,102.905,106.205
AB06,stair_1_r_01_05,4,descent,rl,112.94,115.875
AB06,stair_2_l_01_01,5,ascent,lr,18.3,19.525
AB06,stair_2_l_01_01,5,descent,lr,26.265,27.38
AB06,stair_2_l_01_02,5,ascent,lr,34.865,36.005
AB06,stair_2_l_01_02,5,descent,lr,43.145,44.3
AB06,stair_2_l_01_03,5,ascent,lr,51.185,52.36
AB06,stair_2_l_01_03,5,descent,lr,59.82,61.245
AB06,stair_2_l_02_01,5,ascent,lr,26.18,27.355
AB06,stair_2_l_02_01,5,descent,lr,34.51,35.65
AB06,stair_2_l_02_02,5,ascent,lr,42.415,43.675
AB06,stair_2_l_02_02,5,descent,lr,51.115,52.315
AB06,stair_2_l_02_03,5,ascent,lr,59.425,60.745
AB06,stair_2_l_02_03,5,descent,lr,68.645,69.865
AB06,stair_2_r_01_01,5,ascent,rl,19.885,22.315
AB06,stair_2_r_01_01,5,descent,rl,28.025,30.455
AB06,stair_2_r_01_02,5,ascent,rl,36.12,38.415
AB06,stair_2_r_01_02,5,descent,rl,44.28,46.69
AB06,stair_2_r_01_03,5,ascent,rl,52.86,55.435
AB06,stair_2_r_01_03,5,descent,rl,61.82,64.265
AB06,stair_2_r_01_04,5,ascent,rl,70.815,73.315
AB06,stair_2_r_01_04,5,descent,rl,79.74,81.9
AB06,stair_2_r_01_05,5,ascent,rl,88.185,90.58
AB06,stair_2_r_01_05,5,descent,rl,96.535,98.78
AB06,stair_3_l_01_01,6,ascent,lr,18.245,19.555
AB06,stair_3_l_01_01,6,descent,lr,27.26,28.56
AB06,stair_3_l_01_02,6,ascent,lr,36.16,37.445
AB06,stair_3_l_01_02,6,descent,lr,45.665,47.09
AB06,stair_3_l_01_03,6,ascent,lr,56.27,57.535
AB06,stair_3_l_01_03,6,descent,lr,65.145,66.435
AB06,stair_3_l_01_04,6,ascent,lr,75.02,76.36
AB06,stair_3_l_01_04,6,descent,lr,84.495,85.885
AB06,stair_3_l_01_05,6,ascent,lr,93.585,94.96
AB06,stair_3_l_01_05,6,descent,lr,102.55,103.735
AB06,stair_3_r_01_01,6,ascent,rl,16.92,19.92
AB06,stair_3_r_01_01,6,descent,rl,25.925,28.7
AB06,stair_3_r_01_02,6,ascent,rl,40.44,43.14
AB06,stair_3_r_01_02,6,descent,rl,49.53,52.13
AB06,stair_3_r_01_03,6,ascent,rl,58.78,61.705
AB06,stair_3_r_01_03,6,descent,rl,68.39,71.06
AB06,stair_3_r_01_04,6,ascent,rl,77.865,80.62
AB06,stair_3_r_01_04,6,descent,rl,86.91,89.555
AB06,stair_3_r_01_05,6,ascent,rl,97.13,99.99
AB06,stair_3_r_01_05,6,descent,rl,106.31,109.015
AB06,stair_4_l_01_01,7,ascent,lr,25.985,27.175
AB06,stair_4_l_01_01,7,descent,lr,34.61,35.75
AB06,stair_4_l_01_02,7,ascent,lr,43.18,44.455
AB06,stair_4_l_01_02,7,descent,lr,52.3,53.47
AB06,stair_4_l_01_03,7,ascent,lr,61.13,62.455
AB06,stair_4_l_01_03,7,descent,lr,70.235,71.48
AB06,stair_4_l_01_04,7,ascent,lr,78.99,80.22
AB06,stair_4_l_01_04,7,descent,lr,87.79,88.955
AB06,stair_4_l_01_05,7,ascent,lr,97.53,98.805
AB06,stair_4_l_01_05,7,descent,lr,106.795,108.01
AB06,stair_4_r_01_01,7,ascent,rl,17.205,19.85
AB06,stair_4_r_01_01,7,descent,rl,26.065,28.565
AB06,stair_4_r_01_02,7,ascent,rl,34.34,36.92
AB06,stair_4_r_01_02,7,descent,rl,44.495,47.065
AB06,stair_4_r_01_03,7,ascent,rl,53.555,56.255
AB06,stair_4_r_01_03,7,descent,rl,63.13,65.81
AB06,stair_4_r_01_04,7,ascent,rl,72.435,75.15
AB06,stair_4_r_01_04,7,descent,rl,82.135,84.735
AB06,stair_4_r_01_05,7,ascent,rl,92.135,94.825
AB06,stair_4_r_01_05,7,descent,rl,101.5,104.155
AB07,stair_1_l_01_01,4,ascent,lr,13.165,14.305
